,,
Row Labels,Median Hours of Certification,
HarvardX,17.0296124,
Computer Science,0,
"Government, Health, and Social Science",20.3427027,
"Humanities, History, Design, Religion, and Education",14.67425,
"Science, Technology, Engineering, and Mathematics",33.775,
MITx,66.26645963,
Computer Science,51.895,
"Government, Health, and Social Science",51.42763158,
"Humanities, History, Design, Religion, and Education",34.61214286,
"Science, Technology, Engineering, and Mathematics",82.9013253,
Grand Total,44.36455172,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,