,,,,,,,,,,,
Subject,Average of content_duration,Sum of num_subscribers,Sum of num_reviews,Subject,Content Duration (Average) ,,,,,,
Business Finance,3.552998605,1868711,75902,Business Finance,3.552998605,,,,,,
Graphic Design,3.580541736,1063148,37070,Graphic Design,3.580541736,,,,,,
Musical Instruments,2.854387255,846689,31724,Musical Instruments,2.854387255,,,,,,
Web Development,5.594791667,7980572,430025,Web Development,5.594791667,,,,,,
Grand Total,4.094516948,11759120,574721,,,,,,,,
,,,,,,,,,,,
,,,,Subject,Reviewers %,,,,,,
,,,,Business Finance,13.21%,,,,,,
,,,,Graphic Design,6.45%,,,,,,
,,,,Musical Instruments,5.52%,,,,,,
,,,,Web Development,74.82%,,,,,,
,,,,,,,Subject,Subscribers % ,,,
,,,,,,,Business Finance,15.89%,,,
,,,,,,,Graphic Design,9.04%,,,
,,,,,,,Musical Instruments,7.20%,,,
,,,,,,,Web Development,67.87%,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,